PassengerId,Age,Sex,Survived
1,22.0,male,0
2,38.0,female,1
3,26.0,female,1
4,35.0,female,1
5,35.0,male,0
6,,male,0
7,54.0,male,0
8,2.0,,0
9,27.0,female,1
10,14.0,,1
11,4.0,female,1
12,58.0,female,1
13,20.0,,0
14,39.0,male,0
15,14.0,,0
16,55.0,female,1
17,2.0,male,0
18,,male,1
19,31.0,,0
20,,,1
21,35.0,,0
22,34.0,male,1
23,15.0,,1
24,28.0,male,1
25,8.0,female,0
26,38.0,female,1
27,,male,0
28,19.0,,0
29,,female,1
30,,male,0
31,40.0,male,0
32,,female,1
33,,female,1
34,66.0,male,0
35,28.0,male,0
36,42.0,,0
37,,,1
38,21.0,,0
39,18.0,,0
40,14.0,female,1
41,40.0,female,0
42,27.0,female,0
43,,male,0
44,3.0,,1
45,19.0,female,1
46,,male,0
47,,male,0
48,,,1
49,,male,0
50,18.0,female,0
51,7.0,male,0
52,21.0,,0
53,49.0,female,1
54,29.0,,1
55,65.0,,0
56,,male,1
57,21.0,female,1
58,28.5,male,0
59,5.0,,1
60,11.0,male,0
61,22.0,male,0
62,38.0,female,1
63,45.0,male,0
64,4.0,male,0
65,,male,0
66,,,1
67,29.0,female,1
68,19.0,,0
69,17.0,,1
70,26.0,male,0
71,32.0,male,0
72,16.0,female,0
73,21.0,male,0
74,26.0,male,0
75,32.0,male,1
76,25.0,,0
77,,male,0
78,,male,0
79,0.83,male,1
80,30.0,female,1
81,22.0,,0
82,29.0,,1
83,,female,1
84,28.0,male,0
85,17.0,,1
86,33.0,female,1
87,16.0,,0
88,,male,0
89,23.0,female,1
90,24.0,male,0
91,29.0,male,0
92,20.0,male,0
93,46.0,male,0
94,26.0,,0
95,59.0,male,0
96,,male,0
97,71.0,male,0
98,23.0,male,1
99,34.0,female,1
100,34.0,,0
101,28.0,,0
102,,,0
103,21.0,,0
104,33.0,,0
105,37.0,,0
106,28.0,,0
107,21.0,female,1
108,,male,1
109,38.0,,0
110,,female,1
111,47.0,male,0
112,14.5,female,0
113,22.0,male,0
114,20.0,female,0
115,17.0,female,0
116,21.0,male,0
117,70.5,male,0
118,29.0,,0
119,24.0,,0
120,2.0,female,0
121,21.0,male,0
122,,male,0
123,32.5,male,0
124,32.5,female,1
125,54.0,,0
126,12.0,male,1
127,,male,0
128,24.0,male,1
129,,female,1
130,45.0,male,0
131,33.0,male,0
132,20.0,,0
133,47.0,,0
134,29.0,female,1
135,25.0,,0
136,23.0,,0
137,19.0,female,1
138,37.0,male,0
139,16.0,,0
140,24.0,,0
141,,female,0
142,22.0,,1
143,24.0,female,1
144,19.0,,0
145,18.0,male,0
146,19.0,,0
147,27.0,male,1
148,9.0,female,0
149,36.5,male,0
150,42.0,,0
151,51.0,male,0
152,22.0,,1
153,55.5,male,0
154,40.5,male,0
155,,male,0
156,51.0,male,0
